d,u_*,threshold_type,p,rho_f,rho_s,sediment,nu,T,g,gamma,molecular_mass,fluid1,fluid1_proportion,fluid2,fluid2_proportion,flow_depth,tunnel,ref,reffull
m,m/s,word,Pa,kg/m^3,kg/m^3,word,m^2/s,K,m/s^2,unitless,g/mol,word,%,word,%,m,word,word,string
0.000125,3.92917029960788,dynamic,179.97351539607,0.002166881125369,2636,quartz,0.008445317920651,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,3.28072675965201,dynamic,270.141820584752,0.00325250751984,2636,quartz,0.005626428190672,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,2.70785294781517,dynamic,369.688795021487,0.004451053092059,2636,quartz,0.004111386591332,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,2.37301466513004,dynamic,520.345924845143,0.006264964935136,2636,quartz,0.002921005973612,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,2.07904971855411,dynamic,721.198026189495,0.008683224235322,2636,quartz,0.002107512083537,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,1.87106009429455,dynamic,956.817333644936,0.011520080697085,2636,quartz,0.001588530539081,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,1.73695337035182,dynamic,1215.09201096529,0.014629707812022,2636,quartz,0.001250879391109,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,1.54470873703739,dynamic,1654.01865909365,0.019914384655488,2636,quartz,0.000918933741443,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,1.52068132458578,dynamic,1723.44602302643,0.020750290117238,2636,quartz,0.000881915380296,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,1.43168222661608,dynamic,2111.26459228505,0.025419625691112,2636,quartz,0.000719916186901,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,1.28542887847959,dynamic,2888.54556289015,0.034778088577197,2636,quartz,0.000526193380622,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,1.1373415578122,dynamic,3901.77377662892,0.046977356270612,2636,quartz,0.000389549379803,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,1.01843740516611,dynamic,5379.39535108401,0.064767920027052,2636,quartz,0.000282547285637,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,0.842747695762085,dynamic,7438.077264526,0.089554450264893,2636,quartz,0.000204344953778,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,0.735920198357653,dynamic,10177.3233737836,0.122534973420354,2636,quartz,0.000149345117473,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,0.610483998610315,dynamic,14035.9430691857,0.168992754552996,2636,quartz,0.000108288666271,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,0.51628559672109,dynamic,19455.5275540236,0.234244551750445,2636,quartz,7.81234819049115E-05,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,0.442713720952094,dynamic,27035.496010472,0.325507371966083,2636,quartz,5.62199248805548E-05,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,0.358632514804603,dynamic,37384.7171113865,0.450111994021093,2636,quartz,4.06565482437298E-05,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,0.297533899535779,dynamic,51690.4693776607,0.622353251307034,2636,quartz,2.9404522209159E-05,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,0.247852881466187,dynamic,71652.8681615392,0.862700532664932,2636,quartz,2.12124593727446E-05,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,0.209480400279056,dynamic,100087.188179769,1.20504974568442,2636,quartz,1.51860950683047E-05,293,9.81,1.4,28.964,air,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.000125,1.52231165535258,dynamic,1148.09867960768,0.021125015704781,2636,quartz,0.000710058643725,293,9.81,1.289,44.01,CO2,100,none,0,0.85,AWTSII,andreotti2020,"Andreotti et al., 2020"
0.00017,0.287648900571513,flux_fit,101325,1.2,2650,quartz,1.51029380833333E-05,293.15,9.81,1.4,28.964,air,100,none,0,-9999,field,li2014,"Li et al., 2014"
0.00031,0.310748536279739,flux_fit,101325,1.2,2650,quartz,1.51029380833333E-05,293.15,9.81,1.4,28.964,air,100,none,0,-9999,field,li2014,"Li et al., 2014"
0.0003,0.229271533339837,flux_fit,101325,1.2,2650,quartz,1.51029380833333E-05,293.15,9.81,1.4,28.964,air,100,none,0,-9999,field,li2014,"Li et al., 2014"
0.000125,0.20377036329963,flux_fit,100853.56,1.1985,2650,quartz,1.51218403838131E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.482995745591737,Aarhus Tilting,iversen1999,"Iversen \& Rasmussen, 1999"
0.00017,0.183706677477329,flux_fit,100853.56,1.1985,2650,quartz,1.51218403838131E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.482995745591737,Aarhus Tilting,iversen1999,"Iversen \& Rasmussen, 1999"
0.000242,0.233559144835316,flux_fit,100853.56,1.1985,2650,quartz,1.51218403838131E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.482995745591737,Aarhus Tilting,iversen1999,"Iversen \& Rasmussen, 1999"
